complaint_text,category,priority
The community garbage bin at in the Industrial Area is on fire!,Waste,Urgent
"A high-tension power line has snapped and is sparking on the ground at 5th Cross, SS Puram!",Electricity,Urgent
"The public toilet at near the old post office is unusable, filthy, and has no water.",Waste,Medium
Request to repaint the lane markings on on Kuvempu Main Road.,Roads,Low
Our entire apartment complex (on Kuvempu Main Road) has had no water for 24 hours. We need a tanker.,Water,Urgent
The community garbage bin at at Gandhinagar Park is on fire!,Waste,Urgent
Garbage has not been collected from in front of the Railway Station for 5 days. It stinks and is attracting dogs.,Waste,Medium
The main power cable to our building at Town Hall Circle is visibly damaged.,Electricity,Medium
Request to repaint the lane markings on MG Road.,Roads,Low
"My water bill for 1st Main, BTM Layout seems to be incorrect. Please check the reading.",Water,Low
"The main manhole cover is broken and open at at Vinayaka Nagar, it's dangerous.",Water,Medium
The storm drain on Town Hall Circle is completely blocked with plastic. It will flood when it rains.,Waste,Medium
The water pressure in at Melekote has been extremely low for three days.,Water,Medium
The transformer at in front of the Railway Station just exploded! There is smoke and fire.,Electricity,Urgent
A huge sinkhole has opened up in the middle of on the Ring Road! A car could fall in.,Roads,Urgent
"An entire street (MG Road) has no working streetlights, it's pitch black.",Electricity,Medium
Request to repaint the lane markings on at Gandhinagar Park.,Roads,Low
Our entire apartment complex (MG Road) has had no water for 24 hours. We need a tanker.,Water,Urgent
"My neighbor at in the Industrial Area is burning plastic waste every night, causing pollution.",Waste,Low
The zebra crossing paint at at Vinayaka Nagar is completely faded.,Roads,Low
Our entire apartment complex (in front of the Railway Station) has had no water for 24 hours. We need a tanker.,Water,Urgent
The public tap at in the Industrial Area is constantly dripping.,Water,Low
"Request to place a new community garbage bin at 1st Main, BTM Layout.",Waste,Low
Request to repaint the lane markings on on Kuvempu Main Road.,Roads,Low
"The speed breaker at MG Road is broken, and sharp metal rods are sticking out.",Roads,Medium
The public tap at B.H. Road is constantly dripping.,Water,Low
The community water tank at Town Hall Circle is overflowing and about to collapse.,Water,Urgent
Request to repaint the lane markings on near the old post office.,Roads,Low
"A car crashed into the electric pole at in the Industrial Area, and it's about to fall.",Electricity,Urgent
Requesting information on the water supply schedule for near SIT College.,Water,Low
The 'No Parking' sign at at Gandhi Circle has been knocked down.,Roads,Low
"The traffic lights at on Kuvempu Main Road junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
The main sewer line at on Kuvempu Main Road is blocked and overflowing into the street.,Waste,Urgent
"Toxic chemical barrels have been dumped near the lake at 1st Main, BTM Layout.",Waste,Urgent
The community water tank at at Gandhi Circle is overflowing and about to collapse.,Water,Urgent
A huge sinkhole has opened up in the middle of in the Industrial Area! A car could fall in.,Roads,Urgent
Our water has been brown and muddy for 2 days at on the Ring Road. It's undrinkable.,Water,Medium
The community water tank at MG Road is overflowing and about to collapse.,Water,Urgent
My electricity meter at in Jayanagar 3rd Block is not working. The display is blank.,Electricity,Low
The community water tank at near the KSRTC Bus Stand is overflowing and about to collapse.,Water,Urgent
"My neighbor at at Gandhinagar Park is burning plastic waste every night, causing pollution.",Waste,Low
"A water pipe has a constant, steady leak at near the old post office. Wasting so much water.",Water,Medium
The community garbage bin at near SIT College is on fire!,Waste,Urgent
"A huge sinkhole has opened up in the middle of 1st Main, BTM Layout! A car could fall in.",Roads,Urgent
"A car crashed into the electric pole at at Vinayaka Nagar, and it's about to fall.",Electricity,Urgent
"The bridge at in the Industrial Area has a visible, large crack in it. It looks unsafe!",Roads,Urgent
The community garbage bin at Town Hall Circle is on fire!,Waste,Urgent
Live wires are exposed in a flooded area at MG Road. Extremely dangerous.,Electricity,Urgent
The zebra crossing paint at Town Hall Circle is completely faded.,Roads,Low
"Garbage has not been collected from 1st Main, BTM Layout for 5 days. It stinks and is attracting dogs.",Waste,Medium
A high-tension power line has snapped and is sparking on the ground at at Vinayaka Nagar!,Electricity,Urgent
"The public toilet at at Gandhi Circle is unusable, filthy, and has no water.",Waste,Medium
My water bill for near the KSRTC Bus Stand seems to be incorrect. Please check the reading.,Water,Low
Our water has been brown and muddy for 2 days at at Melekote. It's undrinkable.,Water,Medium
The electrical junction box at near the District Hospital is open and exposed to rain.,Electricity,Medium
